Generic Name,Therapeutic Class,Route,Usual Adult Dose,Age Group,Common ADRs,Serious ADRs,ADR Label,Total ADRs,Chance of Serious ADR (%),ADR Risk Status
Metformin,Antidiabetic,Inhalation,14 mg once daily,Elderly,Fatigue,None reported,Cardiac;Hematologic;Endocrine,4,33,Low
Glimepiride,Antidiabetic,Oral,12 mg twice daily,Adults,"Nausea, Flushing, Fatigue","Pulmonary edema, Severe hypoglycemia",Respiratory,5,32,Low
Sitagliptin,Antidiabetic,IV,150 mg every 6-8 h,Adults,Cough,GI bleeding,Metabolic,2,48,High
Insulin Glargine,Antidiabetic,Topical,30 mg once daily,Elderly,"Headache, Insomnia, Palpitations","QT prolongation, Arrhythmia",CNS;Cardiac;GI,5,40,High
Empagliflozin,Antidiabetic,IV,14 mg once weekly,Adults,"Palpitations, Rash, Dizziness",Arrhythmia,Endocrine,4,79,High
Pioglitazone,Antidiabetic,Oral,450 mg once daily at bedtime,Adults,"Fatigue, Dizziness, GI upset",QT prolongation,Hematologic;CNS;Hepatic,6,72,High
Acarbose,Antidiabetic,Oral,75 mg once weekly,Adults,Constipation,"Arrhythmia, Hepatotoxicity",Respiratory;Metabolic;Endocrine,3,35,High
Repaglinide,Antidiabetic,IV,365 mg every 12 h,Adults,"Insomnia, Constipation, Palpitations",Hepatotoxicity,Hematologic,4,21,Low
Insulin Aspart,Antidiabetic,Oral,16 mg once daily at bedtime,Adults,"Insomnia, Constipation, Headache",Severe hypoglycemia,Respiratory;Hematologic;Renal,4,73,High
Insulin Lispro,Antidiabetic,Inhalation,365 mg every 6-8 h,Elderly,"Headache, Dry mouth",Renal injury,GI;Renal,4,84,High
Amlodipine,Antihypertensive,Oral,500 mg every 6-8 h,Elderly,"Constipation, Fatigue, Dizziness",Renal injury,Hematologic;GI;Hepatic,4,30,Low
Lisinopril,Antihypertensive,IM,25 mg once daily,Adults,"Headache, Palpitations, Vomiting",GI bleeding,Allergic;Endocrine;Respiratory,4,33,Low
Losartan,Antihypertensive,Topical,450 mg once weekly,Pediatric,"Cough, Vomiting, Palpitations",None reported,Renal;Metabolic;Hepatic,3,52,High
Atenolol,Antihypertensive,Oral,25 mg twice daily,Adults,Constipation,"Hepatotoxicity, Bone marrow suppression",Cardiac,5,63,High
Metoprolol,Antihypertensive,Oral,10 mg every 6-8 h,Adults,Dry mouth,"Seizures, Hepatotoxicity",Allergic;Skin;Respiratory,3,80,High
Propranolol,Antihypertensive,Subcutaneous,20 mg once daily,Adults,"Rash, Insomnia",Seizures,GI;Cardiac;Endocrine,3,74,High
Diltiazem,Antihypertensive,IV,20 mg twice daily,Adults,Insomnia,None reported,Respiratory;CNS,6,9,Low
Verapamil,Antihypertensive,Subcutaneous,365 mg once daily,Adults,"Palpitations, Nausea, Headache",None reported,Metabolic,3,35,High
Hydralazine,Antihypertensive,IV,125 mg once daily,Adults,Insomnia,Seizures,Metabolic;Hematologic,5,75,High
Clonidine,Antihypertensive,IV,20 mg every 6-8 h,Adults,Constipation,"Pulmonary edema, Anaphylaxis",Hepatic;GI;Skin,4,77,High
Hydrochlorothiazide,Diuretic,IV,10 mg every 12 h,Adults,Headache,"GI bleeding, Hepatotoxicity",Cardiac;Skin,3,72,High
Furosemide,Diuretic,Topical,12 mg once weekly,Elderly,"Flushing, Rash, Dry mouth",None reported,Hepatic;CNS;Renal,3,33,Low
Spironolactone,Diuretic,IM,200 mg every 6-8 h,Pediatric,Nausea,Bone marrow suppression,Cardiac;Endocrine;Hematologic,2,59,High
Bumetanide,Diuretic,IM,12 mg twice daily,Adults,GI upset,"QT prolongation, Pulmonary edema",Endocrine,6,59,High
